mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.21,"43 km W of Adak, Alaska",1662310702110,1662490192480,,https://earthquake.usgs.gov/earthquakes/eventpage/av91674641,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91674641&format=geojson,,,,,reviewed,0,1,av,91674641,",av91674641,",",av,",",origin,phase-data,",5.0,,0.13,264.0,ml,earthquake,"M 0.2 - 43 km W of Adak, Alaska"
1.1,"4 km NE of Big Lake, Alaska",1662310695843,1662310833878,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcrm4eo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcrm4eo&format=geojson,,,,,automatic,0,19,ak,022bcrm4eo,",ak022bcrm4eo,",",ak,",",origin,phase-data,",,,0.48,,ml,earthquake,"M 1.1 - 4 km NE of Big Lake, Alaska"
1.90999997,"1 km ESE of P?hala, Hawaii",1662310520130,1662310706980,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131162,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131162&format=geojson,,,,,automatic,0,56,hv,73131162,",hv73131162,",",hv,",",origin,phase-data,",34.0,,0.140000001,98.0,md,earthquake,"M 1.9 - 1 km ESE of P?hala, Hawaii"
0.33,"44 km W of Adak, Alaska",1662310248120,1662489968300,,https://earthquake.usgs.gov/earthquakes/eventpage/av91674631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91674631&format=geojson,,,,,reviewed,0,2,av,91674631,",av91674631,",",av,",",origin,phase-data,",5.0,,0.08,287.0,ml,earthquake,"M 0.3 - 44 km W of Adak, Alaska"
0.15,"37 km SSE of Morton, Washington",1662310189440,1662316695260,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868887,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868887&format=geojson,,,,,reviewed,0,0,uw,61868887,",uw61868887,",",uw,",",origin,phase-data,",10.0,0.02092,0.1,95.0,ml,earthquake,"M 0.2 - 37 km SSE of Morton, Washington"
1.36,"43 km W of Adak, Alaska",1662310180040,1662489817550,,https://earthquake.usgs.gov/earthquakes/eventpage/av91674626,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91674626&format=geojson,,,,,reviewed,0,28,av,91674626,",av91674626,",",av,",",origin,phase-data,",10.0,,0.12,161.0,ml,earthquake,"M 1.4 - 43 km W of Adak, Alaska"
0.92,"17km SSE of Livermore, CA",1662310079230,1662316393629,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775385,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775385&format=geojson,,,,,reviewed,0,13,nc,73775385,",nc73775385,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.07389,0.06,67.0,md,earthquake,"M 0.9 - 17km SSE of Livermore, CA"
0.84,"10km NNE of Borrego Springs, CA",1662309829490,1662570024192,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096103,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096103&format=geojson,,,,,reviewed,0,11,ci,40096103,",ci40096103,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",40.0,0.0288,0.17,40.0,ml,earthquake,"M 0.8 - 10km NNE of Borrego Springs, CA"
0.9,"34 km SSW of Mina, Nevada",1662308944316,1662672217196,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00846401,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00846401&format=geojson,,,,,reviewed,0,12,nn,00846401,",nn00846401,",",nn,",",origin,phase-data,",9.0,0.261,0.0619,199.4,ml,earthquake,"M 0.9 - 34 km SSW of Mina, Nevada"
4.3,"237 km NE of Lospalos, Timor Leste",1662308753374,1663010073040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7dr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7dr&format=geojson,,,,,reviewed,0,284,us,7000i7dr,",us7000i7dr,",",us,",",origin,phase-data,",10.0,2.721,0.18,88.0,mb,earthquake,"M 4.3 - 237 km NE of Lospalos, Timor Leste"
1.8,"29 km NNE of Paxson, Alaska",1662308378748,1662308504350,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcrdt8y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcrdt8y&format=geojson,,,,,automatic,0,50,ak,022bcrdt8y,",ak022bcrdt8y,",",ak,",",origin,phase-data,",,,0.82,,ml,earthquake,"M 1.8 - 29 km NNE of Paxson, Alaska"
0.72,Utah,1662308278910,1662503394900,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60513627,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60513627&format=geojson,,,,,reviewed,0,8,uu,60513627,",uu60513627,",",uu,",",origin,phase-data,",8.0,0.1216,0.12,134.0,md,earthquake,M 0.7 - Utah
1.55,"20km ESE of Little Lake, CA",1662308205660,1662568466042,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096095,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096095&format=geojson,,,,,reviewed,0,37,ci,40096095,",ci40096095,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.1025,0.14,58.0,ml,earthquake,"M 1.6 - 20km ESE of Little Lake, CA"
2.48,"55 km ESE of Naalehu, Hawaii",1662308181220,1663009459040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131132,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131132&format=geojson,,,,,reviewed,0,95,hv,73131132,",us7000i55g,hv73131132,",",us,hv,",",origin,phase-data,",46.0,,0.21,273.0,md,earthquake,"M 2.5 - 55 km ESE of Naalehu, Hawaii"
1.4,"17 km S of Kokhanok, Alaska",1662308096413,1662308205091,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcrcs15,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcrcs15&format=geojson,,,,,automatic,0,30,ak,022bcrcs15,",ak022bcrcs15,",",ak,",",origin,phase-data,",,,0.64,,ml,earthquake,"M 1.4 - 17 km S of Kokhanok, Alaska"
1.05,"2km NE of Loma Linda, CA",1662307987720,1662568167532,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096087,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096087&format=geojson,,,,,reviewed,0,17,ci,40096087,",ci40096087,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",53.0,0.05152,0.17,29.0,ml,earthquake,"M 1.1 - 2km NE of Loma Linda, CA"
0.78,"22 km E of Honaunau-Napoopoo, Hawaii",1662307866260,1662589068980,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131117,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131117&format=geojson,,,,,reviewed,0,9,hv,73131117,",hv73131117,",",hv,",",origin,phase-data,",9.0,,0.1,107.0,md,earthquake,"M 0.8 - 22 km E of Honaunau-Napoopoo, Hawaii"
1.4,"2 km E of Nikolaevsk, Alaska",1662307535205,1662307630503,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcrasy8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcrasy8&format=geojson,,,,,automatic,0,30,ak,022bcrasy8,",ak022bcrasy8,",",ak,",",origin,phase-data,",,,0.18,,ml,earthquake,"M 1.4 - 2 km E of Nikolaevsk, Alaska"
0.84,"4km W of Cobb, CA",1662307484300,1662309490994,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775380,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775380&format=geojson,,,,,automatic,0,11,nc,73775380,",nc73775380,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.006653,0.01,170.0,md,earthquake,"M 0.8 - 4km W of Cobb, CA"
1.2,"28 km NNE of Paxson, Alaska",1662307180208,1662307323135,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcr0yec,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcr0yec&format=geojson,,,,,automatic,0,22,ak,022bcr0yec,",ak022bcr0yec,",",ak,",",origin,phase-data,",,,0.96,,ml,earthquake,"M 1.2 - 28 km NNE of Paxson, Alaska"
3.7,"134 km NNE of Vieques, Puerto Rico",1662307166920,1662310514040,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022247002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022247002&format=geojson,,,,,reviewed,0,211,pr,2022247002,",us7000i55e,pr2022247002,",",us,pr,",",origin,phase-data,",16.0,1.2354,0.36,278.0,md,earthquake,"M 3.7 - 134 km NNE of Vieques, Puerto Rico"
-0.39,"63 km ENE of Pedro Bay, Alaska",1662307132730,1662486154150,,https://earthquake.usgs.gov/earthquakes/eventpage/av91674591,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91674591&format=geojson,,,,,reviewed,0,0,av,91674591,",av91674591,",",av,",",origin,phase-data,",5.0,,0.05,92.0,ml,earthquake,"M -0.4 - 63 km ENE of Pedro Bay, Alaska"
0.93,,1662307046960,1662588748570,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131097,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131097&format=geojson,,,,,reviewed,0,13,hv,73131097,",hv73131097,",",hv,",",origin,phase-data,",10.0,,0.1,107.0,md,earthquake,M 0.9 - 
4.4,south of the Fiji Islands,1662306965237,1663009198040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7dq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7dq&format=geojson,,,,,reviewed,0,298,us,7000i7dq,",us7000i7dq,",",us,",",origin,phase-data,",40.0,4.941,0.82,115.0,mb,earthquake,M 4.4 - south of the Fiji Islands
2.6,"28 km NNE of Paxson, Alaska",1662306798968,1662309493040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcqzmgb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcqzmgb&format=geojson,,,,,automatic,0,104,ak,022bcqzmgb,",us7000i55d,ak022bcqzmgb,",",us,ak,",",origin,phase-data,",,,0.85,,ml,earthquake,"M 2.6 - 28 km NNE of Paxson, Alaska"
0.96,"15 km NNE of Ashford, Washington",1662306372030,1662317041740,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868867&format=geojson,,,,,reviewed,0,14,uw,61868867,",uw61868867,",",uw,",",origin,phase-data,",19.0,0.02043,0.11,78.0,ml,earthquake,"M 1.0 - 15 km NNE of Ashford, Washington"
1.76,"21km WNW of Searles Valley, CA",1662306347260,1662567662971,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096079,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096079&format=geojson,,,,,reviewed,0,48,ci,40096079,",ci40096079,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.03027,0.15,78.0,ml,earthquake,"M 1.8 - 21km WNW of Searles Valley, CA"
1.12,"12km WSW of Deep Springs, CA",1662306218700,1662321430254,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775375,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775375&format=geojson,,,,,reviewed,0,19,nc,73775375,",nc73775375,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.1715,0.04,272.0,md,earthquake,"M 1.1 - 12km WSW of Deep Springs, CA"
0.91,"3km SSW of Mentone, CA",1662306000860,1662567303986,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096071,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096071&format=geojson,,,,,reviewed,0,13,ci,40096071,",ci40096071,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.02745,0.13,100.0,ml,earthquake,"M 0.9 - 3km SSW of Mentone, CA"
4.4,"124 km NNE of Lospalos, Timor Leste",1662305982494,1663008347040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i55a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i55a&format=geojson,,,,,reviewed,0,298,us,7000i55a,",us7000i55a,",",us,",",origin,phase-data,",56.0,3.693,0.57,37.0,mb,earthquake,"M 4.4 - 124 km NNE of Lospalos, Timor Leste"
1.1,"8 km NNW of Point MacKenzie, Alaska",1662305543271,1662305678550,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcqv4rb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcqv4rb&format=geojson,,,,,automatic,0,19,ak,022bcqv4rb,",ak022bcqv4rb,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.1 - 8 km NNW of Point MacKenzie, Alaska"
1.70000005,"3 km SSE of P?hala, Hawaii",1662305386970,1662305573100,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131072,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131072&format=geojson,,,,,automatic,0,44,hv,73131072,",hv73131072,",",hv,",",origin,phase-data,",28.0,,0.129999995,160.0,md,earthquake,"M 1.7 - 3 km SSE of P?hala, Hawaii"
2.1,"11 km NE of P?hala, Hawaii",1662305005890,1662305335380,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73131062,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73131062&format=geojson,,,,,automatic,0,68,hv,73131062,",hv73131062,",",hv,",",origin,phase-data,",35.0,,0.150000006,123.0,ml,earthquake,"M 2.1 - 11 km NE of P?hala, Hawaii"
1.28,Washington,1662304920360,1662317573910,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868857,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868857&format=geojson,,,,,reviewed,0,25,uw,61868857,",uw61868857,",",uw,",",origin,phase-data,",33.0,0.08004,0.2,37.0,ml,earthquake,M 1.3 - Washington
1.0,"29 km SSW of Mina, Nevada",1662304486051,1662670727844,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00846396,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00846396&format=geojson,0.0,1.0,,,reviewed,0,15,nn,00846396,",nn00846396,",",nn,",",dyfi,origin,phase-data,",11.0,0.213,0.0915,158.86,ml,earthquake,"M 1.0 - 29 km SSW of Mina, Nevada"
1.67,"31km W of Hayfork, CA",1662304062010,1662324730584,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775365,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775365&format=geojson,,,,,reviewed,0,43,nc,73775365,",nc73775365,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.03556,0.09,157.0,md,earthquake,"M 1.7 - 31km W of Hayfork, CA"
1.44,"31km WSW of Hayfork, CA",1662303989510,1662319711100,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775370,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775370&format=geojson,,,,,reviewed,0,32,nc,73775370,",nc73775370,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.03175,0.18,87.0,md,earthquake,"M 1.4 - 31km WSW of Hayfork, CA"
4.4,"Izu Islands, Japan region",1662303873923,1663008030040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7dw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7dw&format=geojson,,,,,reviewed,0,298,us,7000i7dw,",us7000i7dw,",",us,",",origin,phase-data,",68.0,2.116,0.49,64.0,mb,earthquake,"M 4.4 - Izu Islands, Japan region"
5.2,"Izu Islands, Japan region",1662303502340,1663000924040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i552,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i552&format=geojson,,,,,reviewed,0,416,us,7000i552,",us7000i552,",",us,",",moment-tensor,origin,phase-data,",106.0,2.356,0.52,98.0,mww,earthquake,"M 5.2 - Izu Islands, Japan region"
4.5,"160 km SE of Mata-Utu, Wallis and Futuna",1662303072326,1662998598040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i7dv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i7dv&format=geojson,,,,,reviewed,0,312,us,7000i7dv,",us7000i7dv,",",us,",",origin,phase-data,",14.0,2.718,0.75,90.0,mb,earthquake,"M 4.5 - 160 km SE of Mata-Utu, Wallis and Futuna"
1.73,"16km SE of Rockport, CA",1662303008530,1662318010797,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73775360,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73775360&format=geojson,,,,,reviewed,0,46,nc,73775360,",nc73775360,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.07482,0.09,131.0,md,earthquake,"M 1.7 - 16km SE of Rockport, CA"
4.5,Philippine Islands region,1662302899897,1662997813040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i555,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i555&format=geojson,,,,,reviewed,0,312,us,7000i555,",us7000i555,",",us,",",origin,phase-data,",68.0,2.999,0.87,108.0,mb,earthquake,M 4.5 - Philippine Islands region
0.78,"17 km WSW of Howell, Utah",1662301293960,1662503020080,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60513612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60513612&format=geojson,,,,,reviewed,0,9,uu,60513612,",uu60513612,",",uu,",",origin,phase-data,",8.0,0.1227,0.13,135.0,md,earthquake,"M 0.8 - 17 km WSW of Howell, Utah"
0.71,"37 km NNE of Amboy, Washington",1662301205890,1662317870150,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868837,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868837&format=geojson,,,,,reviewed,0,8,uw,61868837,",uw61868837,",",uw,",",origin,phase-data,",19.0,0.004034,0.09,84.0,ml,earthquake,"M 0.7 - 37 km NNE of Amboy, Washington"
0.23,"37 km NNE of Amboy, Washington",1662301151590,1662318065990,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868832,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868832&format=geojson,,,,,reviewed,0,1,uw,61868832,",uw61868832,",",uw,",",origin,phase-data,",14.0,0.00289,0.09,84.0,ml,earthquake,"M 0.2 - 37 km NNE of Amboy, Washington"
1.04,"10km SE of Ocotillo Wells, CA",1662301006360,1662566819591,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096047&format=geojson,,,,,reviewed,0,17,ci,40096047,",ci40096047,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.1001,0.2,66.0,ml,earthquake,"M 1.0 - 10km SE of Ocotillo Wells, CA"
1.22,"7 km NNW of Emery, Utah",1662300704050,1662493032530,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60513607,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60513607&format=geojson,,,,,reviewed,0,23,uu,60513607,",uu60513607,",",uu,",",origin,phase-data,",6.0,0.05323,0.03,85.0,ml,earthquake,"M 1.2 - 7 km NNW of Emery, Utah"
4.7,"Izu Islands, Japan region",1662300670458,1662997628040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54w&format=geojson,,,,,reviewed,0,340,us,7000i54w,",us7000i54w,",",us,",",origin,phase-data,",82.0,2.33,0.53,49.0,mb,earthquake,"M 4.7 - Izu Islands, Japan region"
0.96,"10km ESE of Big Bear City, CA",1662300212140,1662565214807,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096031&format=geojson,1.0,0.0,,,reviewed,0,14,ci,40096031,",ci40096031,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",40.0,0.1334,0.13,62.0,ml,earthquake,"M 1.0 - 10km ESE of Big Bear City, CA"
1.57,"16km SSW of Olancha, CA",1662300005680,1662564552658,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096023,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096023&format=geojson,,,,,reviewed,0,38,ci,40096023,",ci40096023,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.09873,0.16,73.0,ml,earthquake,"M 1.6 - 16km SSW of Olancha, CA"
3.3,"21 km WNW of Stanley, Idaho",1662299665285,1662302676040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54s&format=geojson,,,,,reviewed,0,168,us,7000i54s,",us7000i54s,",",us,",",origin,phase-data,",15.0,0.919,0.35,65.0,ml,earthquake,"M 3.3 - 21 km WNW of Stanley, Idaho"
2.82,"10km SE of Ocotillo Wells, CA",1662299607250,1662997477040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096015,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096015&format=geojson,3.0,2.2,,,reviewed,0,123,ci,40096015,",ci40096015,us7000i54r,",",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",84.0,0.1014,0.21,23.0,ml,earthquake,"M 2.8 - 10km SE of Ocotillo Wells, CA"
2.4,"18 km SSW of Tyonek, Alaska",1662299478237,1662301979040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcpsbrj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcpsbrj&format=geojson,,,,,automatic,0,89,ak,022bcpsbrj,",us7000i54q,ak022bcpsbrj,",",us,ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 2.4 - 18 km SSW of Tyonek, Alaska"
3.4,southern Idaho,1662298291604,1662308386892,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54n&format=geojson,1.0,2.2,,,reviewed,0,178,us,7000i54n,",us7000i54n,",",us,",",dyfi,origin,phase-data,",24.0,0.841,0.55,56.0,ml,earthquake,M 3.4 - southern Idaho
1.84000003,"6 km S of P?hala, Hawaii",1662297986100,1662298176430,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73130987,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73130987&format=geojson,,,,,automatic,0,52,hv,73130987,",hv73130987,",",hv,",",origin,phase-data,",31.0,,0.170000002,160.0,md,earthquake,"M 1.8 - 6 km S of P?hala, Hawaii"
-0.2,"66 km WNW of Beluga, Alaska",1662297948880,1662505056340,,https://earthquake.usgs.gov/earthquakes/eventpage/av91674506,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91674506&format=geojson,,,,,reviewed,0,0,av,91674506,",av91674506,",",av,",",origin,phase-data,",5.0,,0.11,222.0,ml,earthquake,"M -0.2 - 66 km WNW of Beluga, Alaska"
4.6,"37 km NNW of Guanaja, Honduras",1662297927531,1662997118610,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54l&format=geojson,5.0,3.4,,,reviewed,0,327,us,7000i54l,",us7000i54l,",",us,",",dyfi,origin,phase-data,",102.0,2.911,0.43,44.0,mb,earthquake,"M 4.6 - 37 km NNW of Guanaja, Honduras"
1.41,"5km WSW of Manhattan Beach, CA",1662297900090,1662575459659,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40096007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40096007&format=geojson,14.0,2.7,,,reviewed,0,34,ci,40096007,",ci40096007,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",30.0,0.07184,0.22,145.0,ml,earthquake,"M 1.4 - 5km WSW of Manhattan Beach, CA"
2.16,"1km SE of Loma Linda, CA",1662297838560,1662563062420,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40095999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40095999&format=geojson,3.0,2.7,,,reviewed,0,73,ci,40095999,",ci40095999,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",114.0,0.07054,0.18,19.0,ml,earthquake,"M 2.2 - 1km SE of Loma Linda, CA"
3.4,"16 km WNW of Stanley, Idaho",1662297389112,1662513166067,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54i&format=geojson,11.0,4.6,,,reviewed,0,183,us,7000i54i,",us7000i54i,",",us,",",dyfi,origin,phase-data,",34.0,0.873,0.57,46.0,ml,earthquake,"M 3.4 - 16 km WNW of Stanley, Idaho"
2.88,"4km W of Manhattan Beach, CA",1662297119770,1662996564040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40095991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40095991&format=geojson,316.0,2.9,2.988,,reviewed,0,219,ci,40095991,",ci40095991,us7000i54g,",",ci,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,shakemap,",111.0,0.06794,0.27,109.0,ml,earthquake,"M 2.9 - 4km W of Manhattan Beach, CA"
2.32,"37km ENE of Lucerne Valley, CA",1662296743220,1662498160390,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40095983,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40095983&format=geojson,,,,,reviewed,0,83,ci,40095983,",ci40095983,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.02657,0.15,38.0,ml,earthquake,"M 2.3 - 37km ENE of Lucerne Valley, CA"
1.5,"41 km WSW of Cantwell, Alaska",1662296532991,1662296641803,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcpht9v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcpht9v&format=geojson,,,,,automatic,0,35,ak,022bcpht9v,",ak022bcpht9v,",",ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 1.5 - 41 km WSW of Cantwell, Alaska"
0.86,"1 km SW of Molalla, Oregon",1662296381040,1662319512320,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61868792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61868792&format=geojson,,,,,reviewed,0,11,uw,61868792,",uw61868792,",",uw,",",origin,phase-data,",4.0,0.09117,0.27,191.0,ml,earthquake,"M 0.9 - 1 km SW of Molalla, Oregon"
4.6,"Izu Islands, Japan region",1662296119391,1662297264040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000i54d,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000i54d&format=geojson,,,,,reviewed,0,326,us,7000i54d,",us7000i54d,",",us,",",origin,phase-data,",32.0,2.6,0.47,152.0,mb,earthquake,"M 4.6 - Izu Islands, Japan region"
1.6,"95 km WSW of Karluk, Alaska",1662295911386,1662503248990,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcp72ih,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcp72ih&format=geojson,,,,,automatic,0,39,ak,022bcp72ih,",av91674491,ak022bcp72ih,",",av,ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 1.6 - 95 km WSW of Karluk, Alaska"
1.5,"46 km SSW of New Allakaket, Alaska",1662295457835,1662295597028,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022bcp5e47,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022bcp5e47&format=geojson,,,,,automatic,0,35,ak,022bcp5e47,",ak022bcp5e47,",",ak,",",origin,phase-data,",,,1.04,,ml,earthquake,"M 1.5 - 46 km SSW of New Allakaket, Alaska"
